,feed,dmi.pct,aez,aez.long,scen,scen.lab
1,Native grassland,94,SA,Semi-arid,Baseline,Baseline
3,Maize residue,0,SA,Semi-arid,Baseline,Baseline
4,Rhodes grass,0,SA,Semi-arid,Baseline,Baseline
5,Maize concentrate,6,SA,Semi-arid,Baseline,Baseline
6,Native grassland,58,THSH,Trop. High. Sub-humid,Baseline,Baseline
8,Maize residue,6,THSH,Trop. High. Sub-humid,Baseline,Baseline
9,Rhodes grass,35,THSH,Trop. High. Sub-humid,Baseline,Baseline
10,Maize concentrate,1,THSH,Trop. High. Sub-humid,Baseline,Baseline
11,Native grassland,56,SH,Sub-humid,Baseline,Baseline
13,Maize residue,0.666666667,SH,Sub-humid,Baseline,Baseline
14,Rhodes grass,33.66666667,SH,Sub-humid,Baseline,Baseline
15,Maize concentrate,9.666666667,SH,Sub-humid,Baseline,Baseline
16,Native grassland,48,THH,Trop. High. Humid,Baseline,Baseline
18,Maize residue,24,THH,Trop. High. Humid,Baseline,Baseline
19,Rhodes grass,27,THH,Trop. High. Humid,Baseline,Baseline
20,Maize concentrate,1,THH,Trop. High. Humid,Baseline,Baseline
12,Native grassland,79,SA,Semi-arid,Maize expansion,"S1: Maize
expansion"
31,Maize residue,7.5,SA,Semi-arid,Maize expansion,"S1: Maize
expansion"
41,Rhodes grass,0,SA,Semi-arid,Maize expansion,"S1: Maize
expansion"
51,Maize concentrate,13.5,SA,Semi-arid,Maize expansion,"S1: Maize
expansion"
61,Native grassland,43,THSH,Trop. High. Sub-humid,Maize expansion,"S1: Maize
expansion"
81,Maize residue,13.5,THSH,Trop. High. Sub-humid,Maize expansion,"S1: Maize
expansion"
91,Rhodes grass,35,THSH,Trop. High. Sub-humid,Maize expansion,"S1: Maize
expansion"
101,Maize concentrate,8.5,THSH,Trop. High. Sub-humid,Maize expansion,"S1: Maize
expansion"
111,Native grassland,41,SH,Sub-humid,Maize expansion,"S1: Maize
expansion"
131,Maize residue,8.166666667,SH,Sub-humid,Maize expansion,"S1: Maize
expansion"
